primeira nota	geral	Aprenda programação.
segunda nota	Python é legal d++	Aprendendo python para ficar ricaaa :)
terceira nota	tech	Java também é legal.
meu primeiro programa	Estudando Python para ser programador.	Estudando Python para ser programador. E escrever códigos Pythonicos.. :)
Ppython	Ligugem de programação, para estudar.	ADSFASFlasklfklasfkaksnfeibnvaads fojafiasdjfahewf ifidjfdkjfk dasfjasdfjdsajkf
Asfsd	fasdf	asfasf
Fdf	dfdf	dfd
Kdkfa	akasdfkasd	kasdfkas
Kadsfklasd	akdsfklasd	kasdfkas
katia	asdfsa	asdf
Asfsad	asfsad	asdfsa
Sadfsda	asdf	asdf
Sdaf	asfdsa	asdfsad
Asdfd	asdfdsa	asdfsda
Dfsadf	asdfsda	asdfsad
Fsadf	asdfsadf	asdfsdaf
Asdfsad	asdfsda	asdf
